Time(s),Volts
3.30,0.007625
3.30,0.007875
3.30,0.007875
3.31,0.008625
3.31,0.008625
3.32,0.008375
3.32,0.009375
3.32,0.009375
3.33,0.0085
3.33,0.0085
3.34,0.00825
3.34,0.007875
3.34,0.007875
3.35,0.007875
3.35,0.007875
3.36,0.00825
3.36,0.009000000000000001
3.36,0.009000000000000001
3.37,0.00575
3.37,0.00575
3.38,-0.0005
3.38,-0.00025
3.38,-0.00025
3.39,-0.00075
3.39,-0.00075
3.40,-0.000375
3.40,-0.000625
3.40,-0.000625
3.41,-0.00025
3.41,-0.00025
3.42,-0.000625
3.42,-0.000375
3.42,-0.000375
3.43,-0.0005
3.43,-0.0005
3.44,-0.0005
3.44,-0.000375
3.44,-0.000375
3.45,-0.000625
3.45,-0.000625
3.46,-0.000375
3.46,-0.00075
3.46,-0.00075
3.47,-0.00025
3.47,-0.00025
3.48,-0.000625
3.48,-0.000375
3.48,-0.000375
3.49,-0.000625
3.49,-0.000625
3.50,-0.000375
3.50,-0.0005
3.50,-0.0005
3.51,-0.0005
3.51,-0.0005
3.52,-0.000375
3.52,-0.000625
3.52,-0.000625
3.53,-0.00025
3.53,-0.00025
3.54,-0.000625
3.54,-0.000375
3.54,-0.000375
3.55,-0.000625
3.55,-0.000625
3.56,-0.000375
3.56,-0.000375
3.56,-0.0005
3.57,-0.000375
3.57,-0.000375
3.58,-0.000625
3.58,-0.000625
3.58,-0.0005
3.59,-0.0005
3.59,-0.0005
3.60,-0.0005
3.60,-0.0005
3.60,-0.000375
3.61,-0.000625
3.61,-0.000625
3.62,-0.000375
3.62,-0.000375
3.62,-0.00075
3.63,-0.000125
3.63,-0.000125
3.64,-0.000625
3.64,-0.000625
3.64,0.000125
3.65,-0.0005
3.65,-0.0005
3.66,-0.0005
3.66,-0.0005
3.66,-0.0005
3.67,-0.000625
3.67,-0.000625
3.68,-0.0005
3.68,-0.0005
3.68,-0.0005
3.69,-0.0005
3.69,-0.0005
3.70,-0.0005
3.70,-0.0005
3.70,-0.0005
3.71,-0.000625
3.71,-0.000625
3.72,-0.000625
3.72,-0.000625
3.72,-0.0005
3.73,-0.0005
3.73,-0.000625
3.74,-0.000625
3.74,-0.000625
3.74,-0.0011250000000000001
3.75,-0.0011250000000000001
3.75,-0.000875
3.76,-0.001
3.76,-0.001
3.76,-0.0011250000000000001
3.77,-0.0011250000000000001
3.77,-0.000875
3.78,-0.0015
3.78,-0.0015
3.78,-0.001375
3.79,-0.001375
3.79,-0.000875
3.80,-0.001
3.80,-0.001
3.80,-0.0015
3.81,-0.0015
3.81,-0.002875
3.82,-0.0045000000000000005
3.82,-0.0045000000000000005
3.82,-0.005625
3.83,-0.005625
3.83,-0.006
3.84,-0.006125
3.84,-0.006125
3.84,-0.0063750000000000005
3.85,-0.0063750000000000005
3.85,-0.006625
3.86,-0.00675
3.86,-0.00675
3.86,-0.0063750000000000005
3.87,-0.005625
3.87,-0.006125
3.88,-0.006125
3.88,-0.0053750000000000004
3.88,-0.0053750000000000004
3.89,-0.0073750000000000005
3.89,-0.0075
3.90,-0.0075
3.90,-0.007625
3.90,-0.007625
3.91,-0.0073750000000000005
3.91,-0.0073750000000000005
3.92,-0.0073750000000000005
3.92,-0.00725
3.92,-0.006625
3.93,-0.006625
3.93,-0.00175
3.94,-0.00175
3.94,-0.003
3.94,-0.003
3.95,-0.005
3.95,-0.005
3.96,-0.005
3.96,-0.005
3.96,-0.005
3.97,-0.005
3.97,-0.00475
3.98,-0.00475
3.98,-0.004875
3.98,-0.004875
3.99,-0.004875
3.99,-0.00475
4.00,-0.00475
4.00,-0.004125
4.00,-0.004125
4.01,-0.003625
4.01,-0.003875
4.02,-0.003875
4.02,-0.00425
4.02,-0.00425
4.03,-0.0045000000000000005
4.03,-0.004375
4.04,-0.004375
4.04,-0.00425
4.04,-0.00425
4.05,-0.004375
4.05,-0.004375
4.06,-0.004375
4.06,-0.004375
4.06,-0.004375
4.07,-0.00425
4.07,-0.00425
4.08,-0.00425
4.08,-0.004125
4.08,-0.004125
4.09,-0.003875
4.09,-0.003875
4.10,-0.0035
4.10,-0.003
4.10,-0.003
4.11,-0.003125
4.11,-0.003125
4.12,-0.003375
4.12,-0.003375
4.12,-0.003375
4.13,-0.0035
4.13,-0.0035
4.14,-0.0035
4.14,-0.0035
4.14,-0.0035
4.15,-0.00175
4.15,-0.00175
4.16,-0.000875
4.16,-0.000875
4.16,-0.000625
4.17,-0.0005
4.17,-0.0005
4.18,-0.0005
4.18,-0.0005
4.18,-0.0005
4.19,-0.0005
4.19,-0.0005
4.20,-0.000625
4.20,-0.000375
4.20,-0.000375
4.21,-0.0005
4.21,-0.0005
4.22,-0.0005
4.22,-0.0005
4.22,-0.0005
4.23,-0.0005
4.23,-0.0005
4.24,-0.0005
4.24,-0.0005
4.24,-0.0005
4.25,-0.0005
4.25,-0.000625
4.26,-0.000625
4.26,-0.000375
4.26,-0.000375
4.27,-0.0005
4.27,-0.000375
4.28,-0.000375
4.28,-0.0005
4.28,-0.0005
4.29,0.0
4.29,-0.000625
4.30,-0.000625
4.30,-0.000125
4.30,-0.000625
4.31,-0.000625
4.31,-0.000375
4.32,-0.000375
4.32,-0.0005
4.32,-0.000375
4.33,-0.000375
4.33,-0.0005
4.34,-0.0005
4.34,-0.000375
4.34,-0.0005
4.35,-0.0005
4.35,-0.000375
4.36,-0.000375
4.36,-0.000375
4.36,-0.000375
4.37,-0.000375
4.37,-0.000125
4.38,-0.000125
4.38,0.0
4.38,0.0022500000000000003
4.39,0.0022500000000000003
4.39,-0.0005
4.40,-0.0005
4.40,0.000125
4.40,0.001875
4.41,0.001875
4.41,-0.000375
4.42,-0.00025
4.42,-0.00025
4.42,-0.0005
4.43,-0.0005
4.43,-0.00025
4.44,-0.000375
4.44,-0.000375
4.44,0.000125
4.45,0.0
4.45,0.00075
4.46,0.00075
4.46,0.00075
4.46,0.001375
4.47,0.001375
4.47,0.001375
4.48,0.001875
4.48,0.001875
4.48,0.002
4.49,0.002125
4.49,0.002625
4.50,0.002625
4.50,0.002875
4.50,0.00375
4.51,0.00375
4.51,0.00375
4.52,0.00375
4.52,0.00425
4.52,0.004125
4.53,0.004125
4.53,0.004875
4.54,0.004875
4.54,0.004875
4.54,0.00525
4.55,0.00525
4.55,0.00525
4.56,0.00525
4.56,0.00525
4.56,0.0055
4.57,0.0053750000000000004
4.57,0.0053750000000000004
4.58,0.005625
4.58,0.005625
